variant_id,node,degree,closeness,betweenness,flow_count,delta_asp
0,ManRouter,0.8,0.1422021153784799,2.0,9.0,1.1528747272804751
0,LonRouter,0.8,0.13945956257781641,1.0,7.0,1.1511883288962246
0,CenRouter,1.0,0.14798565519808923,3.0,11.0,1.1728205115565968
0,DnsRouter,0.6,0.1343479202123089,1.0,7.0,1.0469331821308003
0,ManL3Switch,0.4,0.09551524416083373,0.0,5.0,0.8595335331643847
0,LonL3Switch,0.4,0.09835640520212255,0.0,5.0,0.8780342944527406
1,ManRouter,0.8,0.1280822902552984,1.0,7.0,1.0997242653612505
1,LonRouter,0.8,0.13022060195810115,2.0,9.0,1.1220164797621566
1,CenRouter,1.0,0.1443839751451712,3.0,11.0,1.2772512069132753
1,DnsRouter,0.6,0.11718513255069192,1.0,7.0,0.9805998905576612
1,ManL3Switch,0.4,0.10888165860608327,0.0,5.0,0.9350482169798774
1,LonL3Switch,0.4,0.11574414813760259,0.0,5.0,0.9685443008784744
2,ManRouter,0.8,0.12655817519276563,1.0,7.0,1.110899881594499
2,LonRouter,0.8,0.1310579573401231,2.0,9.0,1.1680907702525105
2,CenRouter,1.0,0.14018669301924083,3.0,11.0,1.2145205473619296
2,DnsRouter,0.6,0.12171523069680076,1.0,7.0,1.0247481490547439
2,ManL3Switch,0.4,0.09743633320218549,0.0,5.0,0.9002899889525606
2,LonL3Switch,0.4,0.09807477608373609,0.0,5.0,0.9041939549144198
3,ManRouter,0.8,0.14444358493104192,1.0,7.0,1.1480620507935695
3,LonRouter,0.8,0.13729467878320603,2.0,9.0,1.129344749391241
3,CenRouter,1.0,0.1541896760589492,4.0,13.0,1.2479958449315856
3,DnsRouter,0.6,0.12890398324946045,0.0,5.0,1.0039556939142387
3,ManL3Switch,0.4,0.10422851075277871,0.0,5.0,0.8865201904847853
3,LonL3Switch,0.4,0.11269892503347531,0.0,5.0,0.9326291319666424
4,ManRouter,0.8,0.14462978941197832,2.0,9.0,1.1563155470222337
4,LonRouter,0.8,0.13555242461780465,1.0,7.0,1.0890090692483125
4,CenRouter,1.0,0.15274352499622643,3.0,11.0,1.2412155143747343
4,DnsRouter,0.6,0.1277446442155833,0.0,5.0,0.9931908644263902
4,ManL3Switch,0.4,0.11545251296964622,0.0,5.0,0.9392313251242999
4,LonL3Switch,0.4,0.11099236558039391,0.0,5.0,0.9166972442607855
5,ManRouter,0.8,0.13274607788707982,2.0,9.0,1.1293614368114873
5,LonRouter,0.8,0.13393192263867382,1.0,7.0,1.1286422740790354
5,CenRouter,1.0,0.14543793297672894,3.0,11.0,1.2339149556848488
5,DnsRouter,0.6,0.12543542890487064,1.0,7.0,1.0223701878695655
5,ManL3Switch,0.4,0.10298781656115674,0.0,5.0,0.9081554233356081
5,LonL3Switch,0.4,0.1035103770348196,0.0,5.0,0.9111432839847146
6,ManRouter,0.8,0.1429028514553867,2.0,9.0,1.1442264149114836
6,LonRouter,0.8,0.13536419203163397,1.0,7.0,1.1205919952218824
6,CenRouter,1.0,0.15118160753248877,4.0,13.0,1.2428807662319767
6,DnsRouter,0.6,0.12494673967058306,0.0,5.0,0.9960722853251575
6,ManL3Switch,0.4,0.10594393294714775,0.0,5.0,0.905684466993685
6,LonL3Switch,0.4,0.10864824580561805,0.0,5.0,0.9204772979867696
7,ManRouter,0.8,0.1403790518678856,1.0,7.0,1.12739722049177
7,LonRouter,0.8,0.1488493112849397,3.0,11.0,1.1912538372466939
7,CenRouter,1.0,0.14688142365855808,2.0,9.0,1.1265295541481384
7,DnsRouter,0.6,0.14095628782510014,2.0,9.0,1.0713164439465306
7,ManL3Switch,0.4,0.10544438787229701,0.0,5.0,0.8901114171327487
7,LonL3Switch,0.4,0.1061405009603668,0.0,5.0,0.894111317462565
8,ManRouter,0.8,0.13974864135887527,2.0,9.0,1.165234901858403
8,LonRouter,0.8,0.13311218586279885,1.0,7.0,1.1394967820086084
8,CenRouter,1.0,0.14358561418251475,3.0,11.0,1.1733089379168287
8,DnsRouter,0.6,0.11982830419250089,0.0,5.0,1.0046284888324413
8,ManL3Switch,0.4,0.09391909736488278,0.0,5.0,0.867971692723272
8,LonL3Switch,0.4,0.10086645345373364,0.0,5.0,0.9115037646712476
9,ManRouter,0.8,0.14764210043309442,1.0,7.0,1.137994345826524
9,LonRouter,0.8,0.14613033262142155,2.0,9.0,1.1366430248031172
9,CenRouter,1.0,0.1595395221049258,4.0,13.0,1.3631385280370616
9,DnsRouter,0.6,0.11693325754686268,0.0,5.0,0.9468678466550259
9,ManL3Switch,0.4,0.10537470363271205,0.0,5.0,0.8861947667252107
9,LonL3Switch,0.4,0.11825497473598116,0.0,5.0,0.9530501174352819
10,ManRouter,0.8,0.15515523844373513,2.0,9.0,1.1789829170940485
10,LonRouter,0.8,0.14849678269021346,1.0,7.0,1.1049100267728467
10,CenRouter,1.0,0.16642458863575704,3.0,11.0,1.2301591138250316
10,DnsRouter,0.6,0.13249658138711243,0.0,5.0,0.9932164352320367
10,ManL3Switch,0.4,0.11531020463461342,0.0,5.0,0.9176830225243269
10,LonL3Switch,0.4,0.10787052798099175,0.0,5.0,0.8775214500965304
11,ManRouter,0.8,0.13129521774359343,1.0,7.0,1.0894193019496348
11,LonRouter,0.8,0.14752625214926324,3.0,11.0,1.2200131852914804
11,CenRouter,1.0,0.14752403407658043,2.0,9.0,1.1553254029858349
11,DnsRouter,0.6,0.13719200641599646,2.0,9.0,1.0586514854234175
11,ManL3Switch,0.4,0.11069482244691523,0.0,5.0,0.9297480453761888
11,LonL3Switch,0.4,0.09970869053035553,0.0,5.0,0.866916378789755
12,ManRouter,0.8,0.14195919995990067,2.0,9.0,1.190978422705714
12,LonRouter,0.8,0.13700927149936296,1.0,7.0,1.1455947402445428
12,CenRouter,1.0,0.14373983770561374,3.0,11.0,1.1107033932849737
12,DnsRouter,0.6,0.12951652975281316,0.0,5.0,1.0252959083742836
12,ManL3Switch,0.4,0.10430863727366503,0.0,5.0,0.9105758812137534
12,LonL3Switch,0.4,0.09816697808941122,0.0,5.0,0.8736995087001053
13,ManRouter,0.8,0.13976950742446528,2.0,9.0,1.1320219327802363
13,LonRouter,0.8,0.13338542196362368,1.0,7.0,1.1069305470586228
13,CenRouter,1.0,0.15339335282543398,3.0,11.0,1.2865855938607167
13,DnsRouter,0.6,0.12461260463865355,1.0,7.0,1.0052079090892514
13,ManL3Switch,0.4,0.10293025087063734,0.0,5.0,0.8948099208062934
13,LonL3Switch,0.4,0.10812082715342733,0.0,5.0,0.9238633913942038
14,ManRouter,0.8,0.14336570180202884,2.0,9.0,1.1523755541941718
14,LonRouter,0.8,0.1423729037250917,1.0,7.0,1.1232968194410413
14,CenRouter,1.0,0.15778551246424816,3.0,11.0,1.236499651551287
14,DnsRouter,0.6,0.1306304044320643,0.0,5.0,1.0065474243735955
14,ManL3Switch,0.4,0.11039642939914467,0.0,5.0,0.9161051233906988
14,LonL3Switch,0.4,0.10536951458999591,0.0,5.0,0.8882489658138654
15,ManRouter,0.8,0.13592204512259337,2.0,9.0,1.124041119122542
15,LonRouter,0.8,0.13523413735765377,1.0,7.0,1.1032547098523644
15,CenRouter,1.0,0.14840147752670116,3.0,11.0,1.2594349759845664
15,DnsRouter,0.6,0.12471390236272094,0.0,5.0,0.9940768326206119
15,ManL3Switch,0.4,0.1100018167553753,0.0,5.0,0.9264126324394699
15,LonL3Switch,0.4,0.11176271189704166,0.0,5.0,0.9354498792252224
16,ManRouter,0.8,0.13857620021882275,1.0,7.0,1.1052907980552908
16,LonRouter,0.8,0.15503270968045638,2.0,9.0,1.1992918257581786
16,CenRouter,1.0,0.15626706555640665,3.0,11.0,1.173987823803541
16,DnsRouter,0.6,0.12919065376001856,0.0,5.0,0.9925542112804345
16,ManL3Switch,0.4,0.11304575291286813,0.0,5.0,0.9200821215903772
16,LonL3Switch,0.4,0.1097784758891757,0.0,5.0,0.9028223414339372
17,ManRouter,0.8,0.13068390918668954,1.0,7.0,1.1126795917942993
17,LonRouter,0.8,0.13448320117282195,2.0,9.0,1.155992753502012
17,CenRouter,1.0,0.14996758883868344,3.0,11.0,1.268120219539039
17,DnsRouter,0.6,0.12440256022892324,1.0,7.0,1.0215559776816208
17,ManL3Switch,0.4,0.0955695934429734,0.0,5.0,0.8724193509746025
17,LonL3Switch,0.4,0.10245250878440568,0.0,5.0,0.9145811733488383
18,ManRouter,0.8,0.12332099696756968,1.0,7.0,1.0965846256214058
18,LonRouter,0.8,0.1306177505152246,2.0,9.0,1.1590171045647972
18,CenRouter,1.0,0.14081471585022778,4.0,13.0,1.2742341078450912
18,DnsRouter,0.6,0.11491388226142817,0.0,5.0,0.9962756431502204
18,ManL3Switch,0.4,0.1025670325108239,0.0,5.0,0.9356381381206423
18,LonL3Switch,0.4,0.09515923774856534,0.0,5.0,0.8917046541693017
19,ManRouter,0.8,0.1538976519989735,2.0,9.0,1.2396566157033773
19,LonRouter,0.8,0.13042380578635734,1.0,7.0,1.061056772456188
19,CenRouter,1.0,0.15729270465782416,3.0,11.0,1.2253567748366099
19,DnsRouter,0.6,0.13164580008823643,0.0,5.0,1.0206408964617737
19,ManL3Switch,0.4,0.10182995284199454,0.0,5.0,0.8802843765155425
19,LonL3Switch,0.4,0.10416440524850555,0.0,5.0,0.894172965665976
20,ManRouter,0.8,0.14187709255526254,2.0,9.0,1.1775082702238864
20,LonRouter,0.8,0.13736866069946302,1.0,7.0,1.1488741038152739
20,CenRouter,1.0,0.14573536441756388,3.0,11.0,1.129290148576672
20,DnsRouter,0.6,0.13757490445639614,0.0,5.0,1.0476106286231452
20,ManL3Switch,0.4,0.09916872394039888,0.0,5.0,0.8724087386496465
20,LonL3Switch,0.4,0.10351828312382556,0.0,5.0,0.8987784315374193
21,ManRouter,0.8,0.13753457257571539,2.0,9.0,1.2010406676769663
21,LonRouter,0.8,0.1312170637703359,1.0,7.0,1.1392680140770453
21,CenRouter,1.0,0.13874386153847107,3.0,11.0,1.1084975716583738
21,DnsRouter,0.6,0.13168277332608336,0.0,5.0,1.04953767175331
21,ManL3Switch,0.4,0.09394362977726509,0.0,5.0,0.8685774245354528
21,LonL3Switch,0.4,0.09768788700471641,0.0,5.0,0.8927790795640331
22,ManRouter,0.8,0.13001342168331578,1.0,7.0,1.1337113107207497
22,LonRouter,0.8,0.13171974789857374,2.0,9.0,1.1723500558625144
22,CenRouter,1.0,0.13647587413455078,3.0,11.0,1.1408429280026982
